textID,pre_formatted,match,post_formatted,surface,inverse,contracted,uniqueID,batch
," @!TONHAUSER: The ten board members voted last night. I was really surprised - I B3thought at least some of them would like Proposition 23. But all ten of them voted against it. Basically, ",every board member didn't like Proposition 23,. Not even a single one of them liked it.,no board member liked Proposition 23,not all board members liked Proposition 23,1,surface1,0
," @!SIDNER: Look, we completely fixed the issue. Indicators have improved across the board. Everybody's happy. \n@!GROSZ: (VOICEOVER) No, ",everybody isn't happy,. Some are happy but others are deeply dissatisfied with what they call a 'band aid solution.',nobody is happy,not all are happy,1,inverse1,0
231404,"He said, ""I really miss Dad."" 
CW2 NATE WILBOURN, Aviator: I miss her the most - and my kids, I miss them both - probably around bedtime. It takes a very special woman to be a military wife. ",Everyone can't be a military wife," and @ @ @ @ @ @ @ @ @ @ least it should be understood before- before marriage, for sure. 
Ms. WILBOURN: Hello, Honey. ",no one can be a military wife,not all can be military wives,1,1,1
237092," @!KINSLEY You're a professional. 
Gen. HAIG: Yes, but I'm not living in this environment at the moment in the desert. I do believe @ @ @ @ @ @ @ @ @ @ is a war, it should be fought with the utmost violence and with the utmost force levels necessary to have an early, prompt and clear victory 
@!KINSLEY But what is wrong with the argument of those- and I don't necessarily endorse it I'm just asking ' cause we had people on this show who say, go in, damage his military infrastructure with an air strike, punish him badly, then sit back and let the sanctions work and maybe they'll work a lot quicker as an alternative to either doing nothing which you don't like and having a full-fledged land war which ",everyone else doesn't like,". 
Gen. HAIG: No, I didn't say do nothing I don't like if you're talking about military. ",no one else likes,not all else like,1,2,2
241971,"KOPPEL: The Oxford Energy Company has a plant in Modesto, California that sits next to the largest tire dump in the country, some 35 to 40 million junked tires. The plant, the first of its kind in the nation, uses a controlled burning system to transform the tires into fuel, used @ @ @ @ @ @ @ @ @ @, Pacific Gas &amp; Electric. The chairman of Oxford Energy, Robert Colman, is with us now live in our San Francisco bureau. And it sounds so easy and logical, I wonder, Mr. Colman, why ",everybody doesn't do it,"? 
ROBERT COLMAN, Oxford Energy Company: Well, Ted, you know, when Bell discovered or invented the telephone, all the basic components were available and generally known for 75 years. ",nobody does it,not all do it,1,3,3
237782," @!KING Do you, Ali? 
Ms. MacGRAW: I don't discuss my specific recovery because it's private, @ @ @ @ @ @ @ @ @ @ 
KING: But you are sober, right? 
Ms. MacGRAW: -as anything to do with capitalizing. I went through Betty Ford almost five years ago and I've been sober since then and I think - because it is not the whole subject of my book, by a long shot - that it is simply part of the story of how ",everyone else's fairy tale story - mine - really wasn't quite what they thought it was-,"
KING: Yes. ",no one else's fairy tale story really was quite what they thought it was-,not all else's fairy tale story really was quite what they thought it was-,1,4,4
237801,"KING: So in other words, you don't let it emotionally affect you? 
Mr. SANCHEZ: Well, when I did- When I first started everything, like, affected me. I was, like, 'Oh, I can't take this guy's money.' He'd tell- give me a sob story, but then I realized, 'Hey, I'm broke and ",everybody else isn't,",' you know? So you have to harden up a little bit",nobody else is,not all else are,1,5,5
237815,"Number two is, I have heard many stories - Art Linkletter's daughter being one - of jumping out windows and people getting crazy and running in front of cars and, you know- I mean, people are saying that this is not a dangerous drug, but these things happen. 
Mr. DOGOLOFF: It's true that they do happen. It is an atypical kind of reaction. In other words, ","everybody who uses LSD doesn't jump out of a window, obviously",". But the problem is that it's unpredictable and you can not necessarily tell in advance how you're @ @ @ @ @ @ @ @ @ @ going to have, and that's part of the danger","nobody (who uses LSD) jumps out of a window, obviously","not all (who use LSD) jump out of a window, obviously",1,6,6
239389,"That would be no doubt useful if he could give him some indication of the various things that could follow thereafter. Some of @ @ @ @ @ @ @ @ @ @ There are also, as you know, the undertakings that have been given by the secretary of state, Mr. Baker, by my foreign secretary about there being no question of Iraq being subject to military attack while it was withdrawing, or after it withdrew, if it withdrew completely. All these matters could be gone into by the secretary general, but he can't negotiate Security Council resolutions which have been adopted in a proper fashion. 
@!MR-MacNeil: If other Arab countries got involved in this or continued to be involved -- Algeria's been mentioned as one such country -- what can they introduce into this or say to Saddam Hussein that ",everybody else hasn't been saying,", what other things can they offer him if the international coalition and the Security Council won't accept the immediate linkage of Palestinian conferences or other things, what can the Arab countries say to him that Britain can't say, that the United States can't say? 
@!AMB-AL-ASHTAL: The President of Iraq is saying that he's representing the highest @ @ @ @ @ @ @ @ @ @ tell him that the highest interests of the Arab nation would be to resolve this conflict peacefully. ",nobody else has been saying,not all else have been saying,1,7,7
242308,"So I was busy, but it didn't have the same kind of excitement, the day-to-day excitement that I had gotten used to, that I didn't realize that I was going to miss when I went there 
@!KOPPEL @ @ @ @ @ @ @ @ @ @ into your old business again, your old real estate company again, you snapped it up and now you're back in the rat race again, right? 
Mr. COILE: No, I just absolutely came back and just started a new one. ",Everybody couldn't understand it when I left," and they definitely couldn't understand it when I came back, but it's been great 
@!KOPPEL Why did you come back? ",nobody could understand it when I left,not all could understand it when I left,1,8,8
242320,"He'll still be eating. What's the point? 
Rep. TORRICELLI: Well, the point is Ted, then that we recognized he didn't particularly care about those people and indeed, that's proven to be the case. Unfortunately, just about ",everything the ambassador just said isn't true,". There is no accounting of what was stolen, they're still hiding biological weapons and indeed, the vice premier of the country was quoted yesterday as saying they haven't even relinquished claims to Kuwait. ",nothing (that the ambassador just said) is true,not all things (that the ambassador just said) are true,1,9,9
221194,"Mr. DEITCHMAN: It takes over the whole car 
@!STOSSEL When you pull up at a light like that, do people give you interesting looks? 
Mr. DEITCHMAN: Everybody on 86th Street here is young, so they all enjoy it, they all like it 
@!STOSSEL voice-over Well, ",everyone on the street isn't young," and lots of people don't like it. 
1st PEDESTRIAN: The whole top of my head, it bounces and your heart starts to palpitate when you hear it. ",no one (on the street) is young,not all (on the street) are young,1,10,10
221399,"How do you feel when the last thing the dog does is give you a big lick in the face? 
Unidentified Man 3: No heartbeat at all. 
@!Ms-NORTON: OK. 
Woman 2: Sometimes, when it gets so bad for me @ @ @ @ @ @ @ @ @ @ here,' because",everybody couldn't do this job,", and thank God you guys come back every day. 
@ ( Footage-of-Norton- 
Unidentified Woman 3: Come here, guy. ",nobody could do this job,not all could do this job,1,11,11
223889,"RICHARD LEE, Manager, Port Authority: I don't know if I can @ @ @ @ @ @ @ @ @ @; that I get more done 
@!JAMIESON voice-over Workers at the once-a-month casual Georgia Power Company agree. 
JOHN HEMBY, Executive Vice President, Georgia Power Company: I guess of that, the question is, ""Why don't you do it all the time?"" Well, I guess it's sort of like a picnic; it's fun to go on a picnic, but ",everybody doesn't want to go on a picnic every day,"
@!JAMIESON voice- over Predictably, one place that does is Levi Strauss, a company that greatly profits from the dressed-down trend. ",nobody wants to go on a picnic every day,not all want to go on a picnic every day,1,12,12
229968, @!RIVERA: I want -- I want you to meet Rosemary. I want you to meet Rosemary. This -- it's not all one way. ,Every kid in America isn't the bad seed, and every parent the -- the golden angel. Let's face facts.,none (in America) are the bad seed,not all (in America) are the bad seed,1,13,13
229968, @!RIVERA: I want -- I want you to meet Rosemary. I want you to meet Rosemary. This -- it's not all one way. Every kid in America isn't the bad seed and ,every parent [isn't] the -- the golden angel,. Let's face facts. , none are the -- the golden angel,not all are the -- the golden angel,1,14,14
231446,"PATRICIA WILLIAMS: She had a bite mark on her face, and she had, you know, bruises on her back 
@!WALLACE voice-over It was the second time the Illinois Department of Children and Family Services, or DCFS, had been called about Saonnia. But an investigator found no evidence of abuse. 
Ms. WILLIAMS: She came out and @ @ @ @ @ 
@ @ @ @ @ voice-over But ",everything wasn't okay,". Just two days later, Saonnia was dead. ",nothing was okay,not all things were okay,1,15,15
231632,"It didn't work. The feminists tried to make it a referendum on sexual harassment, nevertheless. Now a year @ @ @ @ @ @ @ @ @ @ just because they had these hearings and so forth, why -- why, everything's failed. By this sexual harassment, ",everything we went for and strived for didn't happen,. Let me tell you one more time -- please understand this -- this was not about sexual harassment. ,nothing (that we went for and strived for) happened,not all things (that we went for and strived for) happened,1,16,16
232419,"At least, Reginald Jackson thought he had won, until Jimmy Ray Reese uttered two little words: 'Voter fraud.' 
@ ( Footage-of-votes-b 
McKEOWN: ( Voiceover ) Now the election is being contested, and the whites say it has nothing to do with the color of Reginald Jackson's skin. 
@(Footage-inside-cou) 
@!Mr-WALTER-BROWN-@1: What we come up with is a very suspicious election. And if you can't have a free election -- this is the very @ @ @ @ @ @ @ @ @ @ have a free election, then ",everything you do after that doesn't really matter,". What is -- what has happened ... 
@ ( Footage-of-McKeown 
Unidentified Woman 4: It is an important election. ",nothing (that you do after that) really matters,not all things (that you do after that) really matter,1,17,17
232555,"Like most southern politicians, he has been elected -- couldn't have been elected otherwise with -- with a lot of black support. He's, perhaps, more used to going after black voters than, say, somebody like Tom Harkin, the senator from Iowa, which, you know, just doesn't have very many blacks. 
@!KURALT: We don't know these Democrats very well, as you said. What does Bill Clinton, for example, stand for that ",everybody else in the country doesn't stand for,", Bruce? 
@!MORTON: Well, I think that Harkin, for instance, would define himself as a traditional Democrat going back to, say, Hubert Humphrey, Lyndon Johnson's war on poverty, things like that.",nobody else (in the country) stands for,not all else (in the country) stand for,1,18,18
234244,"We are bleeding arterially right now, so when you bring the patient into the emergency room that's bleeding arterially, you got to stop the bleeding. So we're deficit spending, we're $4 trillion in debt. We're going another $400 billion into debt just this year and the reason that's happening - and this is tragic and I wish they'd change it today - is instead of fixing these problems, the Congress and the President are running around with Novocaine, trying to make us feel @ @ @ @ @ @ @ @ @ @, they're basically saying, ""Can I buy your vote with your money this year,"" or ""Can I buy your vote with your money this year, plus I'd like to borrow $400 billion from your children."" ",Every guy on the street doesn't know what $400 billion is,"? You shut the Defense Department, you don't have $400 billion. ",none (on the street) know what $400 billion is,not all (on the street) know what $400 billion is,1,19,19
235391,"Unidentified Man 1: Well, I'm a political junkie. I just love that stuff. And it doesn't matter to me whether it's demonstrating in the streets or working for a candidate, I like politics in all of its forms. And I -- frankly, I can't understand why ",everybody isn't interested in it," because, to me, it's just -- I mean, it's just life. I think people -- I mean, it's how people get along. ",nobody is interested in it,not all are interested in it,1,20,20
237860,"Don't go away. 
Commercial break 
KING: Last call - quickly - Lafayette, Louisiana, hello. 
11th CALLER: Lafayette, Louisiana Yes, sir. I was wondering why ",everyone isn't tested every two years," - a physical test every two years? I'm a commercial driver in Louisiana @ @ @ @ @ @ @ @ @ @, sir",no one is tested every two years,not all are tested every two years,1,21,21
221216,"Dr. KEVORKIAN: What's happening in Sweden. There they say a person's right to life or death - his choice about death - is entirely a personal decision, and no law is needed 
@!WALTERS And who will make the decisions as to who shall be helped to commit suicide? 
Dr. KEVORKIAN: Well, I don't think- I don't think you should allow every doctor to do it - that's just my personal opinion - because ",every doctor can't do it,", by religion or philosophy or personality. So it should be with certain specialists like we do with every special medical activity",none can do it,not all can do it,1,22,22
228534,Is this the system? Is this what it's about? The facts are @ @ @ @ @ @ @ @ @ @ persona is going to be on trial. How do they know that ,everything they hasn't -- haven't read in the press is true,"?
@(Footage-of-Baldwin) 
@!CHUNG: ( Voiceover ) In May, Basinger made headlines again when she filed for bankruptcy. ",nothing (that they have read in the press) is true,not all things (that they have read in the press) are true,1,23,23
